Mat,Dev,treatment,bucket,embryo_no,length_mm,area_mm2,stage
C,W,CW,CW3,31,NA,0.0075,HB
C,W,CW,CW3,32,NA,0.00769,HB
C,W,CW,CW3,33,NA,0.00791,HB
C,W,CW,CW3,34,NA,0.00862,HB
C,W,CW,CW3,35,NA,0.0078,HB
W,C,WC,WC1,1,NA,0.00859,HB
W,C,WC,WC1,2,NA,0.00722,HB
W,C,WC,WC1,3,NA,0.00751,HB
W,C,WC,WC1,4,NA,0.00732,HB
W,C,WC,WC1,5,NA,0.00732,HB
W,C,WC,WC1,6,NA,0.00749,HB
W,C,WC,WC1,7,NA,0.00806,HB
W,C,WC,WC1,8,NA,0.00847,HB
W,C,WC,WC1,9,NA,0.00835,HB
W,C,WC,WC1,10,NA,0.00803,HB
W,C,WC,WC1,11,NA,0.00763,HB
W,C,WC,WC1,12,NA,0.00718,HB
W,C,WC,WC1,13,NA,0.00755,HB
W,C,WC,WC1,14,NA,0.00762,HB
W,C,WC,WC1,15,NA,0.00792,HB
W,C,WC,WC1,16,NA,0.00765,HB
W,C,WC,WC1,17,NA,0.00774,HB
W,C,WC,WC1,18,NA,0.00712,HB
W,C,WC,WC1,19,NA,0.00702,HB
W,C,WC,WC1,20,NA,0.00749,HB
W,C,WC,WC1,21,NA,0.00724,HB
W,C,WC,WC1,22,NA,0.00731,HB
W,C,WC,WC1,23,NA,0.00754,HB
W,C,WC,WC1,24,NA,0.00769,HB
W,C,WC,WC1,25,NA,0.00783,HB
W,C,WC,WC1,26,NA,0.00746,HB
W,C,WC,WC1,27,NA,0.00812,HB
W,C,WC,WC1,28,NA,0.00758,HB
W,C,WC,WC1,29,NA,0.00762,HB
W,C,WC,WC1,30,NA,0.00716,HB
W,C,WC,WC1,31,NA,0.00822,HB
W,C,WC,WC1,32,NA,0.00756,HB
W,C,WC,WC1,33,NA,0.00736,HB
W,C,WC,WC1,34,NA,0.007,HB
W,C,WC,WC1,35,NA,0.00744,HB
W,C,WC,WC2,1,NA,0.00785,HB
W,C,WC,WC2,2,NA,0.00826,HB
W,C,WC,WC2,3,NA,0.00727,HB
W,C,WC,WC2,4,NA,0.00698,HB
W,C,WC,WC2,5,NA,0.00696,HB
